Age,Gender,Education Level,Job Title,Years of Experience,Salary,Job Description,Location
32.0,Male,Bachelor's,Software Engineer,5.0,90000.0,"Looking for a Software Engineer with experience in Java, C++, Problem Solving. Candidate should be proficient in problem solving and teamwork.",Mumbai
28.0,Female,Master's,Data Analyst,3.0,65000.0,"Seeking a skilled Data Analyst who has knowledge of Excel, SQL, Data Analysis and can work in a fast-paced environment.",Hyderabad
45.0,Male,PhD,Senior Manager,15.0,150000.0,"We are hiring a Senior Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
36.0,Female,Bachelor's,Sales Associate,7.0,60000.0,"Join our team as a Sales Associate. Must have experience in Python, SQL and strong analytical abilities.",Delhi
52.0,Male,Master's,Director,20.0,200000.0,"Looking for a Director with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Mumbai
29.0,Male,Bachelor's,Marketing Analyst,2.0,55000.0,"Join our team as a Marketing Analyst. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
42.0,Female,Master's,Product Manager,12.0,120000.0,"Join our team as a Product Manager. Must have experience in Python, SQL and strong analytical abilities.",Hyderabad
31.0,Male,Bachelor's,Sales Manager,4.0,80000.0,"We are hiring a Sales Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
26.0,Female,Bachelor's,Marketing Coordinator,1.0,45000.0,"Looking for a Marketing Coordinator with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
38.0,Male,PhD,Senior Scientist,10.0,110000.0,"Seeking a skilled Senior Scientist who has knowledge of Python, SQL and can work in a fast-paced environment.",Hyderabad
29.0,Male,Master's,Software Developer,3.0,75000.0,"We are hiring a Software Developer. Required skills include Programming, Debugging, APIs. Experience in real-world projects is a plus.",Mumbai
48.0,Female,Bachelor's,HR Manager,18.0,140000.0,"We are hiring a Hr Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
35.0,Male,Bachelor's,Financial Analyst,6.0,65000.0,"Seeking a skilled Financial Analyst who has knowledge of Python, SQL and can work in a fast-paced environment.",Chennai
40.0,Female,Master's,Project Manager,14.0,130000.0,"We are hiring a Project Manager. Required skills include Python, SQL. Experience in real-world projects is a plus.",Bangalore
27.0,Male,Bachelor's,Customer Service Rep,2.0,40000.0,"Join our team as a Customer Service Rep. Must have experience in Python, SQL and strong analytical abilities.",Pune
44.0,Male,Bachelor's,Operations Manager,16.0,125000.0,"Seeking a skilled Operations Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Bangalore
33.0,Female,Master's,Marketing Manager,7.0,90000.0,"Join our team as a Marketing Manager. Must have experience in Python, SQL and strong analytical abilities.",Chennai
39.0,Male,PhD,Senior Engineer,12.0,115000.0,"We are hiring a Senior Engineer. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
25.0,Female,Bachelor's,Data Entry Clerk,0.0,35000.0,"Looking for a Data Entry Clerk with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
51.0,Male,Bachelor's,Sales Director,22.0,180000.0,"Join our team as a Sales Director. Must have experience in Python, SQL and strong analytical abilities.",Pune
34.0,Female,Master's,Business Analyst,5.0,80000.0,"Looking for a Business Analyst with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Bangalore
47.0,Male,Master's,VP of Operations,19.0,190000.0,"Join our team as a Vp Of Operations. Must have experience in Python, SQL and strong analytical abilities.",Delhi
30.0,Male,Bachelor's,IT Support,2.0,50000.0,"Looking for a It Support with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Pune
36.0,Female,Bachelor's,Recruiter,9.0,60000.0,"Looking for a Recruiter with experience in Python, SQL. Candidate should be proficient in problem solving and teamwork.",Delhi
41.0,Male,Master's,Financial Manager,13.0,140000.0,"Seeking a skilled Financial Manager who has knowledge of Python, SQL and can work in a fast-paced environment.",Delhi
28.0,Female,Bachelor's,Social Media Specialist,3.0,45000.0,"We are hiring a Social Media Specialist. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
37.0,Female,Master's,Software Manager,11.0,110000.0,"Join our team as a Software Manager. Must have experience in Python, SQL and strong analytical abilities.",Delhi
24.0,Male,Bachelor's,Junior Developer,1.0,40000.0,"Join our team as a Junior Developer. Must have experience in Programming, Debugging, APIs and strong analytical abilities.",Pune
43.0,Female,PhD,Senior Consultant,15.0,140000.0,"Seeking a skilled Senior Consultant who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
33.0,Male,Master's,Product Designer,6.0,90000.0,"Join our team as a Product Designer. Must have experience in Python, SQL and strong analytical abilities.",Mumbai
50.0,Male,Bachelor's,CEO,25.0,250000.0,"We are hiring a Ceo. Required skills include Python, SQL. Experience in real-world projects is a plus.",Delhi
31.0,Female,Bachelor's,Accountant,4.0,55000.0,"We are hiring a Accountant. Required skills include Python, SQL. Experience in real-world projects is a plus.",Pune
29.0,Male,Master's,Data Scientist,3.0,75000.0,"We are hiring a Data Scientist. Required skills include Python, Machine Learning, SQL. Experience in real-world projects is a plus.",Delhi
39.0,Female,Bachelor's,Marketing Specialist,10.0,65000.0,"Seeking a skilled Marketing Specialist who has knowledge of Python, SQL and can work in a fast-paced environment.",Pune
